Date,Close,High,Low,Open,Volume
2011-07-12,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-07-13,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-07-14,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-07-15,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-07-18,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-07-19,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-07-20,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-07-21,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-07-22,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-07-25,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-07-26,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-07-27,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-07-28,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-07-29,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-08-01,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-08-02,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-08-03,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-08-04,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-08-05,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-08-08,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-08-09,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-08-10,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-08-11,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-08-12,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-08-15,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-08-16,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
